hash_name,item_nameid
AUG%20%7C%20Storm%20(Battle-Scarred),3442151
Sticker%20%7C%20Vitality%20%7C%20Antwerp%202022,176312098
SCAR-20%20%7C%20Contractor%20(Minimal%20Wear),2383809
G3SG1%20%7C%20Desert%20Storm%20(Battle-Scarred),2383752
Sticker%20%7C%20KOI%20%7C%20Copenhagen%202024,176420452
Sticker%20%7C%20broky%20(Champion)%20%7C%20Antwerp%202022,176315232
Dual%20Berettas%20%7C%20Contractor%20(Battle-Scarred),2383878
Sticker%20%7C%20Aleksib%20%7C%20Shanghai%202024,176474964
Sticker%20%7C%20zont1x%20(Glitter%2C%20Champion)%20%7C%20Shanghai%202024,176481571
Sticker%20%7C%20Team%20Spirit%20%7C%20Shanghai%202024,176474902
Sticker%20%7C%20apEX%20%7C%20Shanghai%202024,176475053
Sticker%20%7C%20v%24m%20%7C%20Paris%202023,176371884
MP9%20%7C%20Sand%20Dashed%20(Battle-Scarred),2384370
P250%20%7C%20Boreal%20Forest%20(Battle-Scarred),2384381
Sticker%20%7C%20zont1x%20%7C%20Shanghai%202024,176474985
G3SG1%20%7C%20Jungle%20Dashed%20(Battle-Scarred),2383802
XM1014%20%7C%20Blue%20Spruce%20(Battle-Scarred),2383749
Sticker%20%7C%20stavn%20%7C%20Paris%202023,176371834
Sticker%20%7C%20apEX%20%7C%20Paris%202023,176371661
PP-Bizon%20%7C%20Facility%20Sketch%20(Factory%20New),176012365
P250%20%7C%20Facility%20Draft%20(Minimal%20Wear),176012354
FAMAS%20%7C%20Colony%20(Battle-Scarred),2384354
Sticker%20%7C%20n0rb3r7%20%7C%20Copenhagen%202024,176420647
Sticker%20%7C%20IHC%20Esports%20%7C%20Antwerp%202022,176312034
Sticker%20%7C%20Brollan%20%7C%20Copenhagen%202024,176420525
Sticker%20%7C%20mir%20%7C%20Copenhagen%202024,176420612
SG%20553%20%7C%20Army%20Sheen%20(Factory%20New),8987895
Negev%20%7C%20Army%20Sheen%20(Factory%20New),8988660
Sticker%20%7C%20b1t%20%7C%20Shanghai%202024,176475149
Sticker%20%7C%20iM%20%7C%20Shanghai%202024,176475036
Sticker%20%7C%20roeJ%20%7C%20Paris%202023,176371668
Sticker%20%7C%20PGL%20%7C%20Stockholm%202021,176269934
Sticker%20%7C%20kRaSnaL%20%7C%20Paris%202023,176371869
Sticker%20%7C%20huNter-%20%7C%20Shanghai%202024,176475130
Sticker%20%7C%20Grim%20%7C%20Copenhagen%202024,176420662
PP-Bizon%20%7C%20Facility%20Sketch%20(Minimal%20Wear),176012348
Sticker%20%7C%20Kylar%20%7C%20Paris%202023,176371813
Sticker%20%7C%20GamerLegion%20%7C%20Copenhagen%202024,176420481
Sticker%20%7C%20hallzerk%20%7C%20Copenhagen%202024,176420561
Souvenir%20MAG-7%20%7C%20Navy%20Sheen%20(Minimal%20Wear),176271187
SCAR-20%20%7C%20Sand%20Mesh%20(Battle-Scarred),2383897
Sticker%20%7C%20BOROS%20%7C%20Paris%202023,176371778
P250%20%7C%20Sand%20Dune%20(Minimal%20Wear),2383849
Galil%20AR%20%7C%20Sage%20Spray%20(Battle-Scarred),2383726
Sticker%20%7C%20Team%20Liquid%20(Glitter)%20%7C%20Paris%202023,176371666
Sticker%20%7C%20siuhy%20%7C%20Copenhagen%202024,176420706
Negev%20%7C%20Army%20Sheen%20(Minimal%20Wear),8988621
Souvenir%20R8%20Revolver%20%7C%20Desert%20Brush%20(Field-Tested),176271483
Sticker%20%7C%20JT%20%7C%20Copenhagen%202024,176420721
Horizon%20Case,175999886
Sticker%20%7C%20dupreeh%20%7C%20Paris%202023,176371725
UMP-45%20%7C%20Mudder%20(Battle-Scarred),176012443
Sticker%20%7C%20nexa%20%7C%20Copenhagen%202024,176420625
Sticker%20%7C%20ENCE%20%7C%20Antwerp%202022,176312041
Souvenir%20SSG%2008%20%7C%20Prey%20(Minimal%20Wear),176271177
AUG%20%7C%20Contractor%20(Minimal%20Wear),2384465
Souvenir%20Sawed-Off%20%7C%20Parched%20(Field-Tested),176271488
Sticker%20%7C%20frozen%20%7C%20Shanghai%202024,176475082
Sticker%20%7C%20Imperial%20Esports%20%7C%20Rio%202022,176339544
P90%20%7C%20Sand%20Spray%20(Battle-Scarred),2383783
G3SG1%20%7C%20Jungle%20Dashed%20(Minimal%20Wear),2383764
Souvenir%20P250%20%7C%20Drought%20(Minimal%20Wear),176271176
Nova%20%7C%20Sand%20Dune%20(Battle-Scarred),2383779
Sticker%20%7C%20Maka%20%7C%20Shanghai%202024,176475131
Sticker%20%7C%20Team%20Liquid%20%7C%20Antwerp%202022,176312057
Sticker%20%7C%20FL1T%20%7C%20Copenhagen%202024,176420536
Sticker%20%7C%20juanflatroo%20%7C%20Paris%202023,176371642
Paris%202023%20Challengers%20Autograph%20Capsule,176373441
Sticker%20%7C%20mynio%20%7C%20Paris%202023,176371781
Galil%20AR%20%7C%20Sage%20Spray%20(Minimal%20Wear),2383828
Five-SeveN%20%7C%20Coolant%20(Factory%20New),176012372
Sticker%20%7C%20sh1ro%20(Glitter%2C%20Champion)%20%7C%20Shanghai%202024,176481573
Sticker%20%7C%20rain%20%7C%20Shanghai%202024,176475028
Sticker%20%7C%20karrigan%20%7C%20Shanghai%202024,176474954
Sticker%20%7C%20Thomas%20%7C%20Paris%202023,176371855
Sticker%20%7C%20sinnopsyy%20%7C%20Antwerp%202022,176312174
Sticker%20%7C%20sdy%20%7C%20Paris%202023,176371862
Sticker%20%7C%20xertioN%20%7C%20Copenhagen%202024,176420569
Paris%202023%20Legends%20Autograph%20Capsule,176373440
Sticker%20%7C%20FURIA%20%7C%20Rio%202022,176339494
Sticker%20%7C%20Magisk%20%7C%20Paris%202023,176371765
Sticker%20%7C%20FURIA%20(Glitter)%20%7C%20Paris%202023,176371651
Sticker%20%7C%20jks%20%7C%20Paris%202023,176371928
Sticker%20%7C%20mezii%20%7C%20Copenhagen%202024,176420562
Sticker%20%7C%20TeSeS%20%7C%20Paris%202023,176371742
Sticker%20%7C%20chopper%20%7C%20Copenhagen%202024,176420597
Sticker%20%7C%20Virtus.pro%20%7C%202020%20RMR,176222735
